log_file,stage,training_mode,backbone,quantizer_mode,quantizer_mode_detail,quantizer_mode_source,quant_bits,quant_bits_detail,quant_bits_source,teacher_backend,teacher_proxy_ckpt,teacher_score_topk_ratio,run_id,started_at,epochs,batch_size,lr,roi_levels,bg_levels,max_train_frames,loss_recipe,loss_recipe_detail,loss_recipe_source,rate_loss_mode,rate_loss_mode_source,importance_loss_mode,importance_loss_mode_source,importance_pos_weight_mode,importance_pos_weight,importance_pos_weight_max,distill_logit_loss,distill_temperature,distill_feature_weight,distill_logit_weight,importance_head_type,importance_head_type_source,importance_hidden_channels,imp_separation_margin,roi_target_mode,roi_target_mode_source,lambda_recon,lambda_rate,lambda_distill,lambda_distill_detail,lambda_importance,lambda_imp_separation,first_loss,final_loss,best_loss,rel_improve_pct,final_rate_proxy,final_eq_bits,final_code_entropy,final_imp_mean,save_dir
260215_resnet_pilot_balanced_v1_headbasic_r0.out,2,distill,resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,proxy,data/results/checkpoints/stage2_adaptive.pth,0.01,localpilot_r0,,2,2,0.0001,256,16,128,balanced_v1,Normalized rate loss + weighted BCE importance.,logged,normalized_global,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,logged,32,0.05,maxpool,logged,1.0,0.02,0.1,Distillation loss active with weight=0.100. Higher value increases emphasis on teacher feature/logit matching.,1.0,0.0,55.4393,38.1165,38.1165,31.246426271615984,nan,nan,nan,nan,data/results/experiments/260215_resnet_pilot_balanced_v1_headbasic_lr1e-4_bs2_localpilot_r0
260215_resnet_pilot_balanced_v2_headmultiscale_r1.out,2,distill,resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,proxy,data/results/checkpoints/stage2_adaptive.pth,0.01,localpilot_r1,,2,2,0.0001,256,16,128,balanced_v2,Background-focused normalized rate + weighted BCE + ROI/BG separation margin.,logged,normalized_bg,logged,weighted_bce,logged,auto,1.0,50.0,auto,1.0,1.0,1.0,multiscale,logged,32,0.05,maxpool,logged,1.0,0.02,0.1,Distillation loss active with weight=0.100. Higher value increases emphasis on teacher feature/logit matching.,1.0,0.2,57.8361,39.7356,39.7356,31.29619735770566,nan,nan,nan,nan,data/results/experiments/260215_resnet_pilot_balanced_v2_headmultiscale_lr1e-4_bs2_localpilot_r1
260212_darknet_lr1e-4_r0.out,1,baseline (teacher disabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,backfilled_legacy_default,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",backfilled_legacy_default,none,none,0.01,r0,2026-02-12 22:17:56 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,nearest,backfilled_legacy_default,1.0,0.1,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.5,0.0,12.2198,3.9214,3.9214,67.9094584199414,nan,nan,nan,nan,data/results/experiments/260212_darknet_solo_lr1e-4_bs4_r0
260212_darknet_lr5e-5_r2.out,1,baseline (teacher disabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,backfilled_legacy_default,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",backfilled_legacy_default,none,none,0.01,r2,2026-02-12 22:17:56 PST,50,4,5e-5,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,nearest,backfilled_legacy_default,1.0,0.1,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.5,0.0,15.9687,4.1602,4.1602,73.94778535510092,nan,nan,nan,nan,data/results/experiments/260212_darknet_solo_lr5e-5_bs4_r2
260212_resnet_lr1e-4_r1.out,1,baseline (teacher disabled),resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,backfilled_legacy_default,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",backfilled_legacy_default,none,none,0.01,r1,2026-02-12 22:17:56 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,nearest,backfilled_legacy_default,1.0,0.1,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.5,0.0,11.0716,2.8335,2.8335,74.40749304526896,nan,nan,nan,nan,data/results/experiments/260212_resnet_solo_lr1e-4_bs4_r1
260212_resnet_lr5e-5_r3.out,1,baseline (teacher disabled),resnet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,backfilled_legacy_default,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",backfilled_legacy_default,none,none,0.01,r3,2026-02-12 22:17:56 PST,50,4,5e-5,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,nearest,backfilled_legacy_default,1.0,0.1,0.0,Distillation loss disabled (teacher matching does not contribute to total loss).,0.5,0.0,13.7452,2.9149,2.9149,78.79332421499869,nan,nan,nan,nan,data/results/experiments/260212_resnet_solo_lr5e-5_bs4_r3
260212_darknet_ld0.1_r2.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,backfilled_legacy_default,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",backfilled_legacy_default,proxy,none,0.01,r2,2026-02-12 22:18:00 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,nearest,backfilled_legacy_default,1.0,0.1,0.1,Distillation loss active with weight=0.100. Higher value increases emphasis on teacher feature/logit matching.,0.5,0.0,12.2067,3.8924,3.8924,68.11259390334816,nan,nan,nan,nan,data/results/experiments/260212_darknet_distill_lr1e-4_bs4_r2
260212_darknet_ld0.5_r0.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,backfilled_legacy_default,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",backfilled_legacy_default,proxy,none,0.01,r0,2026-02-12 22:18:00 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,nearest,backfilled_legacy_default,1.0,0.1,0.5,Distillation loss active with weight=0.500. Higher value increases emphasis on teacher feature/logit matching.,0.5,0.0,12.2817,3.9236,3.9236,68.05328252603466,nan,nan,nan,nan,data/results/experiments/260212_darknet_distill_lr1e-4_bs4_r0
260212_darknet_ld1.0_r1.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,backfilled_legacy_default,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",backfilled_legacy_default,proxy,none,0.01,r1,2026-02-12 22:18:00 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,nearest,backfilled_legacy_default,1.0,0.1,1.0,Distillation loss active with weight=1.000. Higher value increases emphasis on teacher feature/logit matching.,0.5,0.0,12.5081,3.9096,3.9096,68.74345424165142,nan,nan,nan,nan,data/results/experiments/260212_darknet_distill_lr1e-4_bs4_r1
260213_darknet_ld0.1_r2.out,2,distillation (teacher enabled),darknet,adaptive,Importance-aware adaptive quantization. Quantization levels vary by spatial importance map (bg_levels -> roi_levels interpolation).,logged,8,"Logged as 8 for compatibility. Adaptive quantization is primarily controlled by roi_levels/bg_levels, not by quant_bits directly.",logged,proxy,none,0.01,r2,2026-02-13 20:38:27 PST,50,4,1e-4,256,16,all,legacy,Original objective: raw mean(level_map) rate proxy + BCE importance.,backfilled_legacy_default,global_mean,backfilled_from_recipe_default,bce,backfilled_from_recipe_default,auto,1.0,50.0,auto,1.0,1.0,1.0,basic,backfilled_legacy_default,32,0.05,maxpool,logged,1.0,0.1,0.1,Distillation loss active with weight=0.100. Higher value increases emphasis on teacher feature/logit matching.,0.5,0.0,nan,nan,nan,nan,nan,nan,nan,nan,data/results/experiments/260213_darknet_distill_lr1e-4_bs4_r2
